     time        	        Q [m^3/dt]        	     BOD5  [g/m^3]        	      COD  [g/m^3]        	       Cu  [g/m^3]        	     Ntot  [g/m^3]        
26.02.2000 00:00:00        	12800.00003        	  0.00000        	  0.00000        	  0.00000        	  0.00000        
27.02.2000 00:00:00        	  0.00000        	  0.00000        	  0.00000        	  0.00000        	  0.00000        
28.02.2000 00:00:00        	14054.40002        	  0.00000        	  0.00000        	  0.00000        	  0.00000        
29.02.2000 00:00:00        	20505.60000        	  0.00000        	  0.00000        	  0.00000        	  0.00000        
01.03.2000 00:00:00        	15961.60000        	  0.00000        	  0.00000        	  0.00000        	  0.00000        
02.03.2000 00:00:00        	13440.00002        	  0.00000        	  0.00000        	  0.00000        	  0.00000        
03.03.2000 00:00:00        	17894.40002        	  0.00000        	  0.00000        	  0.00000        	  0.00000        
04.03.2000 00:00:00        	7033.60007        	  0.00000        	  0.00000        	  0.00000        	  0.00000        
05.03.2000 00:00:00        	35455.99986        	  0.00000        	  0.00000        	  0.00000        	  0.00000        
06.03.2000 00:00:00        	12102.40001        	  0.00000        	  0.00000        	  0.00000        	  0.00000        
07.03.2000 00:00:00        	21734.40000        	  0.00000        	  0.00000        	  0.00000        	  0.00000        
08.03.2000 00:00:00        	11520.00001        	  0.00000        	  0.00000        	  0.00000        	  0.00000        
09.03.2000 00:00:00        	18585.60005        	  0.00000        	  0.00000        	  0.00000        	  0.00000        
10.03.2000 00:00:00        	47385.59998        	  0.00000        	  0.00000        	  0.00000        	  0.00000        
11.03.2000 00:00:00        	30105.59998        	  0.00000        	  0.00000        	  0.00000        	  0.00000        
12.03.2000 00:00:00        	15360.00000        	  0.00000        	  0.00000        	  0.00000        	  0.00000        
13.03.2000 00:00:00        	14745.60001        	  0.00000        	  0.00000        	  0.00000        	  0.00000        
14.03.2000 00:00:00        	17280.00003        	  0.00000        	  0.00000        	  0.00000        	  0.00000        
15.03.2000 00:00:00        	22425.60002        	  0.00000        	  0.00000        	  0.00000        	  0.00000        
16.03.2000 00:00:00        	26265.59990        	  0.00000        	  0.00000        	  0.00000        	  0.00000        
17.03.2000 00:00:00        	23040.00000        	  0.00000        	  0.00000        	  0.00000        	  0.00000        
18.03.2000 00:00:00        	14745.60001        	  0.00000        	  0.00000        	  0.00000        	  0.00000        
19.03.2000 00:00:00        	14745.60001        	  0.00000        	  0.00000        	  0.00000        	  0.00000        
20.03.2000 00:00:00        	14656.00004        	  0.00000        	  0.00000        	  0.00000        	  0.00000        
21.03.2000 00:00:00        	33945.59997        	  0.00000        	  0.00000        	  0.00000        	  0.00000        
22.03.2000 00:00:00        	15974.40000        	  0.00000        	  0.00000        	  0.00000        	  0.00000        
23.03.2000 00:00:00        	  0.00000        	  0.00000        	  0.00000        	  0.00000        	  0.00000        
24.03.2000 00:00:00        	  0.00000        	  0.00000        	  0.00000        	  0.00000        	  0.00000        
25.03.2000 00:00:00        	11366.40000        	  0.00000        	  0.00000        	  0.00000        	  0.00000        
26.03.2000 00:00:00        	12134.40002        	  0.00000        	  0.00000        	  0.00000        	  0.00000        
27.03.2000 00:00:00        	15359.99994        	  0.00000        	  0.00000        	  0.00000        	  0.00000        
28.03.2000 00:00:00        	8294.40000        	  0.00000        	  0.00000        	  0.00000        	  0.00000        
29.03.2000 00:00:00        	6342.40001        	  0.00000        	  0.00000        	  0.00000        	  0.00000        
30.03.2000 00:00:00        	14022.40000        	  0.00000        	  0.00000        	  0.00000        	  0.00000        
31.03.2000 00:00:00        	8985.60005        	  0.00000        	  0.00000        	  0.00000        	  0.00000        
01.04.2000 00:00:00        	30720.00005        	  0.00000        	  0.00000        	  0.00000        	  0.00000        
02.04.2000 00:00:00        	47999.99991        	  0.00000        	  0.00000        	  0.00000        	  0.00000        
03.04.2000 00:00:00        	6374.40001        	  0.00000        	  0.00000        	  0.00000        	  0.00000        
04.04.2000 00:00:00        	9600.00000        	  0.00000        	  0.00000        	  0.00000        	  0.00000        
05.04.2000 00:00:00        	5760.00002        	  0.00000        	  0.00000        	  0.00000        	  0.00000        
06.04.2000 00:00:00        	  0.00000        	  0.00000        	  0.00000        	  0.00000        	  0.00000        
07.04.2000 00:00:00        	12825.60001        	  0.00000        	  0.00000        	  0.00000        	  0.00000        
08.04.2000 00:00:00        	17280.00000        	  0.00000        	  0.00000        	  0.00000        	  0.00000        
09.04.2000 00:00:00        	5760.00000        	  0.00000        	  0.00000        	  0.00000        	  0.00000        
10.04.2000 00:00:00        	1920.00001        	  0.00000        	  0.00000        	  0.00000        	  0.00000        
11.04.2000 00:00:00        	5759.99999        	  0.00000        	  0.00000        	  0.00000        	  0.00000        
12.04.2000 00:00:00        	1920.00002        	  0.00000        	  0.00000        	  0.00000        	  0.00000        
13.04.2000 00:00:00        	8294.40000        	  0.00000        	  0.00000        	  0.00000        	  0.00000        
14.04.2000 00:00:00        	7680.00002        	  0.00000        	  0.00000        	  0.00000        	  0.00000        
15.04.2000 00:00:00        	  0.00000        	  0.00000        	  0.00000        	  0.00000        	  0.00000        
16.04.2000 00:00:00        	8985.60002        	  0.00000        	  0.00000        	  0.00000        	  0.00000        
17.04.2000 00:00:00        	10265.59995        	  0.00000        	  0.00000        	  0.00000        	  0.00000        
18.04.2000 00:00:00        	10214.40000        	  0.00000        	  0.00000        	  0.00000        	  0.00000        
19.04.2000 00:00:00        	5760.00001        	  0.00000        	  0.00000        	  0.00000        	  0.00000        
20.04.2000 00:00:00        	10905.60001        	  0.00000        	  0.00000        	  0.00000        	  0.00000        
21.04.2000 00:00:00        	14054.40003        	  0.00000        	  0.00000        	  0.00000        	  0.00000        
22.04.2000 00:00:00        	28185.59996        	  0.00000        	  0.00000        	  0.00000        	  0.00000        
23.04.2000 00:00:00        	4454.40001        	  0.00000        	  0.00000        	  0.00000        	  0.00000        
24.04.2000 00:00:00        	8985.60002        	  0.00000        	  0.00000        	  0.00000        	  0.00000        
25.04.2000 00:00:00        	12825.60002        	  0.00000        	  0.00000        	  0.00000        	  0.00000        
26.04.2000 00:00:00        	17279.99998        	  0.00000        	  0.00000        	  0.00000        	  0.00000        
27.04.2000 00:00:00        	9600.00001        	  0.00000        	  0.00000        	  0.00000        	  0.00000        
28.04.2000 00:00:00        	10214.40005        	  0.00000        	  0.00000        	  0.00000        	  0.00000        
29.04.2000 00:00:00        	19199.99995        	  0.00000        	  0.00000        	  0.00000        	  0.00000        
30.04.2000 00:00:00        	7680.00001        	  0.00000        	  0.00000        	  0.00000        	  0.00000        
01.05.2000 00:00:00        	  0.00000        	  0.00000        	  0.00000        	  0.00000        	  0.00000        
02.05.2000 00:00:00        	9574.39996        	  0.00000        	  0.00000        	  0.00000        	  0.00000        
03.05.2000 00:00:00        	3225.60003        	  0.00000        	  0.00000        	  0.00000        	  0.00000        
04.05.2000 00:00:00        	5830.39959        	  0.00000        	  0.00000        	  0.00000        	  0.00000        
05.05.2000 00:00:00        	  0.00000        	  0.00000        	  0.00000        	  0.00000        	  0.00000        
06.05.2000 00:00:00        	  0.00000        	  0.00000        	  0.00000        	  0.00000        	  0.00000        
07.05.2000 00:00:00        	  0.00000        	  0.00000        	  0.00000        	  0.00000        	  0.00000        
08.05.2000 00:00:00        	6342.40005        	  0.00000        	  0.00000        	  0.00000        	  0.00000        
09.05.2000 00:00:00        	12134.39998        	  0.00000        	  0.00000        	  0.00000        	  0.00000        
10.05.2000 00:00:00        	9599.99993        	  0.00000        	  0.00000        	  0.00000        	  0.00000        
11.05.2000 00:00:00        	1305.60004        	  0.00000        	  0.00000        	  0.00000        	  0.00000        
12.05.2000 00:00:00        	5145.60000        	  0.00000        	  0.00000        	  0.00000        	  0.00000        
13.05.2000 00:00:00        	3782.40002        	  0.00000        	  0.00000        	  0.00000        	  0.00000        
14.05.2000 00:00:00        	5728.00009        	  0.00000        	  0.00000        	  0.00000        	  0.00000        
15.05.2000 00:00:00        	13440.00012        	  0.00000        	  0.00000        	  0.00000        	  0.00000        
16.05.2000 00:00:00        	22982.40001        	  0.00000        	  0.00000        	  0.00000        	  0.00000        
17.05.2000 00:00:00        	23654.39991        	  0.00000        	  0.00000        	  0.00000        	  0.00000        
18.05.2000 00:00:00        	13952.00001        	  0.00000        	  0.00000        	  0.00000        	  0.00000        
19.05.2000 00:00:00        	15359.99998        	  0.00000        	  0.00000        	  0.00000        	  0.00000        
20.05.2000 00:00:00        	13439.99992        	  0.00000        	  0.00000        	  0.00000        	  0.00000        
21.05.2000 00:00:00        	  0.00000        	  0.00000        	  0.00000        	  0.00000        	  0.00000        
22.05.2000 00:00:00        	12793.59995        	  0.00000        	  0.00000        	  0.00000        	  0.00000        
23.05.2000 00:00:00        	8985.59995        	  0.00000        	  0.00000        	  0.00000        	  0.00000        
24.05.2000 00:00:00        	5145.60001        	  0.00000        	  0.00000        	  0.00000        	  0.00000        
25.05.2000 00:00:00        	5760.00002        	  0.00000        	  0.00000        	  0.00000        	  0.00000        
26.05.2000 00:00:00        	7065.60003        	  0.00000        	  0.00000        	  0.00000        	  0.00000        
27.05.2000 00:00:00        	953.59996        	  0.00000        	  0.00000        	  0.00000        	  0.00000        
28.05.2000 00:00:00        	  0.00000        	  0.00000        	  0.00000        	  0.00000        	  0.00000        
29.05.2000 00:00:00        	  0.00000        	  0.00000        	  0.00000        	  0.00000        	  0.00000        
30.05.2000 00:00:00        	  0.00000        	  0.00000        	  0.00000        	  0.00000        	  0.00000        
31.05.2000 00:00:00        	  0.00000        	  0.00000        	  0.00000        	  0.00000        	  0.00000        
01.06.2000 00:00:00        	  0.00000        	  0.00000        	  0.00000        	  0.00000        	  0.00000        
02.06.2000 00:00:00        	  0.00000        	  0.00000        	  0.00000        	  0.00000        	  0.00000        
03.06.2000 00:00:00        	3225.60001        	  0.00000        	  0.00000        	  0.00000        	  0.00000        
04.06.2000 00:00:00        	3807.99999        	  0.00000        	  0.00000        	  0.00000        	  0.00000        
05.06.2000 00:00:00        	  0.00000        	  0.00000        	  0.00000        	  0.00000        	  0.00000        
06.06.2000 00:00:00        	  0.00000        	  0.00000        	  0.00000        	  0.00000        	  0.00000        
07.06.2000 00:00:00        	  0.00000        	  0.00000        	  0.00000        	  0.00000        	  0.00000        
08.06.2000 00:00:00        	4038.40018        	  0.00000        	  0.00000        	  0.00000        	  0.00000        
